AP-001	PCA9685用スタンドオフ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通
AP-078	M3ナイロンロックナット	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / S-02a [仕上げ] 脚 FL の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / S-02b [仕上げ] 脚 FR の装飾 — thigh_cap / Thigh_Guard / shin_shell_m (ミラー) / Shin_Guard / Leg_Toe ×3 / S-02c [仕上げ] 脚 RL の装飾 — thigh_cap / Thigh_Guard / shin_shell_m (ミラー) / Shin_Guard / Leg_Toe ×3 / S-02d [仕上げ] 脚 RR の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / RV-16 [機構不具合] 大腿・脛ガードの受け座と実際に入る組立経路を作る
AP-079	目ホーン用M1.7×6級	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相
AP-080	電池固定バンド	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / L-06 [組立] 頭無し試験用シャーシ・ヨーサーボ・仮電装を組む / EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧)
AP-081	結束/非導電ストラップ	EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / L-08 [配線] 脚 12ch 本体配線 (経路・束ね・バス直結・PCA ch 割当) / A-03 [組立] 肩ヨーサーボ ×2 をシャーシへ + 両腕を吊り下げ + 配線 + ベンチ確認 (TUCK/READY/REACH/WAVE) / H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる
AP-082	スパイラルチューブ	EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / L-08 [配線] 脚 12ch 本体配線 (経路・束ね・バス直結・PCA ch 割当) / A-03 [組立] 肩ヨーサーボ ×2 をシャーシへ + 両腕を吊り下げ + 配線 + ベンチ確認 (TUCK/READY/REACH/WAVE) / S-06 [組立] 採用した首とCabinの支持・締結・通線を実物で確認する
AP-083	構造/意匠接着剤	A-01 [組立] 右腕チェーンをベンチで組む (肩ブラケット→上腕→前腕→固定爪) / A-02 [組立] 左腕チェーンをベンチで組む (_L パーツ) / RV-17 [機構不具合] 固定爪・指・指飾りの嵌合公差と接着座を検証する / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相 / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通 / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む
AP-084	グルースティック	EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-085	両面テープ	EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-086	熱収縮チューブ/絶縁材	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認
AP-087	頭部支持の座金/スペーサー	RV-13 [機構不具合] 頭の7固定穴から外殻へ届く支持柱・受け座を設計する / S-03 [組立] 頭部組立 — Head_Bottom_Armcut / 目ポッド ×2 + カメラ目装着 / Head 装飾 / Head_Top 被せ
AP-088	線材引出し保護/引張止め	RV-15 [機構不具合] 首・Cabin・装飾を全長で組み合わせ、支持と挿入を成立させる / S-06 [組立] 採用した首とCabinの支持・締結・通線を実物で確認する / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通 / H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる
AP-090	精密ドライバー	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / A-01 [組立] 右腕チェーンをベンチで組む (肩ブラケット→上腕→前腕→固定爪) / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相
AP-091	ピンバイス/一般ドリルセット	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目
AP-092	φ1.1 mmドリル	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相
AP-093	φ2.8 mmドリル	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / S-01 [組立] pod_neck 取付 + TailJoint (青コーン+Ball リング) 化粧スリーブ接着
AP-094	ノギス	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / P-06 [測定] 音声ユニット部品の実測 (INMP441 基板 / φ20 SPK 厚) → AUDIO_* 更新 → check_audio / P-07 [測定] カメラモジュール確認 (XIAO ESP32S3 Sense: センサー型番・子基板寸法・FOV) → CAM2_* 更新 → check_camera
AP-095	温調はんだごて	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-096	電子工作用はんだ	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-097	フラックス	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-098	こて台/清掃具	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-099	AWG16/20/26用ストリッパー	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30)
AP-100	ニッパー/ペンチ	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける
AP-101	バイス/クランプ	P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相
AP-102	グルーガン	EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ / S-07 [電装] LED ×12 / DFPlayer / 74AHCT125 を本体へ組込 (直列順 0→11, 目 LED は carrier 裏)
AP-103	ピンセット	EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相 / H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ
AP-104	デザインナイフ/替刃	P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / PR-06 [印刷] 首・腕・目・カメラ・音声受けを個別条件で引き渡す / PR-07 [印刷] Mouth_Cannon_Bored + Mouth_Ball_Bored (+ Neck / mic クレードルは変更時のみ)
AP-105	カッティングマット	P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / PR-06 [印刷] 首・腕・目・カメラ・音声受けを個別条件で引き渡す / PR-07 [印刷] Mouth_Cannon_Bored + Mouth_Ball_Bored (+ Neck / mic クレードルは変更時のみ)
AP-106	ヤスリ/ペーパー	P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / S-02a [仕上げ] 脚 FL の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / S-03 [組立] 頭部組立 — Head_Bottom_Armcut / 目ポッド ×2 + カメラ目装着 / Head 装飾 / Head_Top 被せ / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む / S-06 [組立] 採用した首とCabinの支持・締結・通線を実物で確認する
AP-107	造形パテ	S-02a [仕上げ] 脚 FL の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / S-03 [組立] 頭部組立 — Head_Bottom_Armcut / 目ポッド ×2 + カメラ目装着 / Head 装飾 / Head_Top 被せ / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む
AP-108	マスキングテープ	P-02 [運営] 印刷済みパーツの棚卸し・検品・ラベリング (旧 rev 混入チェック) / P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / S-03 [組立] 頭部組立 — Head_Bottom_Armcut / 目ポッド ×2 + カメラ目装着 / Head 装飾 / Head_Top 被せ / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む
AP-109	LiPo用保管/充電補助袋	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧)
AP-110	はんだ補助保持具	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-02 [電装] PCA9685 ×2 準備 (board1 A0 ジャンパ→0x41, ヘッダ実装規約) + ESP32 I2C 疎通 / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / H-04 [電装] 裸配線のI2S音声をmock・PTT・低音量再生でベンチ確認する
AP-111	保護眼鏡	P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目 / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相
AP-112	清掃用IPA/エタノール	EL-01 [電装] 電源系ベンチ組立 (LiPo→ヒューズ→SW→UBEC 6V / DC-DC 5V, バスバー, コンデンサ, 分圧) / EL-08 [電装] WS2812 ×12 + 74AHCT125 + DFPlayer (+microSD 音源) のベンチ配線・点灯/再生確認 / S-03 [組立] 頭部組立 — Head_Bottom_Armcut / 目ポッド ×2 + カメラ目装着 / Head 装飾 / Head_Top 被せ / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む
AP-113	小型のこぎり	P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / RV-16 [機構不具合] 大腿・脛ガードの受け座と実際に入る組立経路を作る / RV-17 [機構不具合] 固定爪・指・指飾りの嵌合公差と接着座を検証する
AP-114	水準器/水平確認手段	EL-04 [電装] 実サーボを1個ずつ校正し、20駆動軸と予備を識別する / L-01 [組立] 脚 FL (標準版) を組む — 片脚ゲート用の 1 本目
AP-115	黒色マーカー/塗料	H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相 / S-03 [組立] 頭部組立 — Head_Bottom_Armcut / 目ポッド ×2 + カメラ目装着 / Head 装飾 / Head_Top 被せ / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む
AP-116	部品表示用マーカー	P-01 [運営] 購入部品の棚卸し・検品 (BOM / shopping.md D-1 と照合) / P-02 [運営] 印刷済みパーツの棚卸し・検品・ラベリング (旧 rev 混入チェック) / EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / L-08 [配線] 脚 12ch 本体配線 (経路・束ね・バス直結・PCA ch 割当)
AP-117	定規/巻尺	EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / L-08 [配線] 脚 12ch 本体配線 (経路・束ね・バス直結・PCA ch 割当) / S-06 [組立] 採用した首とCabinの支持・締結・通線を実物で確認する
AP-118	端子圧着工具	EL-05 [配線] 脚サーボハーネス ×12 製作 (電源 AWG20→AWG16 バス分岐 / 信号 AWG26→PCA) / EL-06 [配線] 腕・目サーボハーネス製作 (MG90S ×6 / ES9251II ×2, AWG26/30) / H-03 [組立] 音声ユニット組込 — INMP441→cradle_mic 圧入 / φ20 SPK / cradle_spk / 8 芯を Neck・Ball ボアへ
AP-119	旧閉殻の救済用穴加工工具	P-05 [要判断] 印刷済み品を部品別に再使用・内部加工・補強・再印刷へ分ける / RV-09 [機構不具合] 頭部内の実サーボケースとポッド梁の干渉を解消する / RV-13 [機構不具合] 頭の7固定穴から外殻へ届く支持柱・受け座を設計する / PR-08 [印刷] 頭の収納・支持確定後にHeadTopの再使用か改訂印刷を判断する
AP-120	青PLA	PR-06 [印刷] 首・腕・目・カメラ・音声受けを個別条件で引き渡す / PR-07 [印刷] Mouth_Cannon_Bored + Mouth_Ball_Bored (+ Neck / mic クレードルは変更時のみ) / PR-08 [印刷] 頭の収納・支持確定後にHeadTopの再使用か改訂印刷を判断する / S-02a [仕上げ] 脚 FL の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / S-03 [組立] 頭部組立 — Head_Bottom_Armcut / 目ポッド ×2 + カメラ目装着 / Head 装飾 / Head_Top 被せ / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む
AP-121	灰PLA	PR-01 [印刷] キット灰意匠を不足・嵌合条件別に分離して印刷する / PR-05 [印刷] 足本体と大腿カバーを別条件で試作・不足数印刷する / A-04 [仕上げ] 腕殻の改訂配置とGuard原型・左右対応を確認して固定する
AP-122	黒PLA	PR-02 [印刷] 黒いトゥ・指・Insertを部品別の確定条件で印刷する
AP-123	白PLA	PR-06 [印刷] 首・腕・目・カメラ・音声受けを個別条件で引き渡す / H-01 [組立] 目ポッド ×2 (キョロキョロ) — ドット黒仕上げ / ES9251II / ホーン先付け / 中立位相 / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通 / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む
AP-124	赤PLA	PR-03 [印刷] 赤ランプ大4・小4の不足分を透光試験後に用意する
AP-125	構造用PETG	PR-04 [印刷] 片脚試験用の標準 tibia_link ×1 を先に印刷する / PR-06 [印刷] 首・腕・目・カメラ・音声受けを個別条件で引き渡す / PR-09 [印刷] (条件付き) 骨格の再印刷 — P-05 で「再印刷」と決まった部品のみ / PR-11 [印刷] 片脚合格後に残りのtibiaを標準1本・ミラー2本印刷する / RV-07 [試験] 実際の壁数・充填率による脚とポッド支持の強度を確かめる
AP-126	黒TPU95A	PR-05 [印刷] 足本体と大腿カバーを別条件で試作・不足数印刷する / RV-06 [機構不具合] トゥと硬い足本体の先行接地を解消して足裏支持を成立させる / S-02a [仕上げ] 脚 FL の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / S-02b [仕上げ] 脚 FR の装飾 — thigh_cap / Thigh_Guard / shin_shell_m (ミラー) / Shin_Guard / Leg_Toe ×3 / S-02c [仕上げ] 脚 RL の装飾 — thigh_cap / Thigh_Guard / shin_shell_m (ミラー) / Shin_Guard / Leg_Toe ×3 / S-02d [仕上げ] 脚 RR の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3
AP-127	TPU外部供給保持具	PR-05 [印刷] 足本体と大腿カバーを別条件で試作・不足数印刷する / RV-06 [機構不具合] トゥと硬い足本体の先行接地を解消して足裏支持を成立させる
AP-128	材料乾燥/保管手段	PR-04 [印刷] 片脚試験用の標準 tibia_link ×1 を先に印刷する / PR-05 [印刷] 足本体と大腿カバーを別条件で試作・不足数印刷する / PR-06 [印刷] 首・腕・目・カメラ・音声受けを個別条件で引き渡す / PR-11 [印刷] 片脚合格後に残りのtibiaを標準1本・ミラー2本印刷する
AP-129	灰PLA(Amazon購入記録)	PR-01 [印刷] キット灰意匠を不足・嵌合条件別に分離して印刷する / PR-05 [印刷] 足本体と大腿カバーを別条件で試作・不足数印刷する / A-04 [仕上げ] 腕殻の改訂配置とGuard原型・左右対応を確認して固定する
AP-130	脚サーボの上位交換	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / L-02 [ゲート] 片脚ベンチ試験 — 1.2kg×レバー155mm (=18.6kgf·cm) 保持 (6V) / スイープ / 保持電流 / L-11 [要判断] 股ピッチの実力を測り、低トルク歩容・軽量化・6V対応品を比較する
AP-131	UBECの上位交換	EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる / H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる
AP-132	5 V DC-DCの上位交換	EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる / H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる
AP-133	スイッチの定格変更	EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-134	確定ヒューズ/予備	EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-135	カメラ/レンズ交換	P-07 [測定] カメラモジュール確認 (XIAO ESP32S3 Sense: センサー型番・子基板寸法・FOV) → CAM2_* 更新 → check_camera / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通
AP-136	3S/HVサーボ化部品	P-03 [測定] サーボ・ホーン実測 (STD ×14 / MG90S ×6 / ES9251II ×3) → 実測表 / EL-09 [要判断] 実電源の電圧・電流・温度から継続か交換を決める / RV-11 [電装] 部品の実型番・電源収支・停止回路・測定手順を整合させる
AP-138	Cabin棚候補のねじ	H-06 [CAD] Cabin内部の電装室・基板保持・挿入経路・配線を成立させる / RV-15 [機構不具合] 首・Cabin・装飾を全長で組み合わせ、支持と挿入を成立させる / S-05 [仕上げ] Cabinの電装室・接合・目座が確定した部品を組む
AP-139	XIAO候補の固定材	P-07 [測定] カメラモジュール確認 (XIAO ESP32S3 Sense: センサー型番・子基板寸法・FOV) → CAM2_* 更新 → check_camera / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通
AP-140	TPU靴候補の接着材	RV-06 [機構不具合] トゥと硬い足本体の先行接地を解消して足裏支持を成立させる / RV-07 [試験] 実際の壁数・充填率による脚とポッド支持の強度を確かめる / PR-05 [印刷] 足本体と大腿カバーを別条件で試作・不足数印刷する / S-02a [仕上げ] 脚 FL の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3 / S-02b [仕上げ] 脚 FR の装飾 — thigh_cap / Thigh_Guard / shin_shell_m (ミラー) / Shin_Guard / Leg_Toe ×3 / S-02c [仕上げ] 脚 RL の装飾 — thigh_cap / Thigh_Guard / shin_shell_m (ミラー) / Shin_Guard / Leg_Toe ×3 / S-02d [仕上げ] 脚 RR の装飾 — thigh_cap / Thigh_Guard / shin_shell (標準) / Shin_Guard / Leg_Toe ×3
AP-141	廃止グリッパ部品	RV-17 [機構不具合] 固定爪・指・指飾りの嵌合公差と接着座を検証する / A-01 [組立] 右腕チェーンをベンチで組む (肩ブラケット→上腕→前腕→固定爪) / A-02 [組立] 左腕チェーンをベンチで組む (_L パーツ)
AP-142	代替ESP32-CAM	P-07 [測定] カメラモジュール確認 (XIAO ESP32S3 Sense: センサー型番・子基板寸法・FOV) → CAM2_* 更新 → check_camera / H-02 [組立] カメラ目 — 子基板→camera_carrier→base→shell 接着, XIAO ファーム + WiFi 静止画疎通
AP-143	片脚荷重試験の重り	L-02 [ゲート] 片脚ベンチ試験 — 1.2kg×レバー155mm (=18.6kgf·cm) 保持 (6V) / スイープ / 保持電流 / L-11 [要判断] 股ピッチの実力を測り、低トルク歩容・軽量化・6V対応品を比較する
